City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Walvis Bay,NA,2022-09-20 21:33:07,-22.9575,14.5053,65.35,22,0,12.66
274,Sioux Lookout,CA,2022-09-20 21:33:08,50.1001,-91.917,73.47,56,75,16.11
275,Mahebourg,MU,2022-09-20 21:33:08,-20.4081,57.7,71.26,88,40,9.22
276,Lodja,CD,2022-09-20 21:34:09,-3.4833,23.4333,70.38,93,72,2.48
277,Cockeysville,US,2022-09-20 21:34:09,39.4812,-76.6439,83.48,57,15,1.99
278,Llanes,ES,2022-09-20 21:34:10,43.4198,-4.7549,62.82,74,10,8.61
279,Terrace Bay,CA,2022-09-20 21:34:10,48.7834,-87.1,58.95,88,24,6.85
280,Potcoava,RO,2022-09-20 21:34:11,44.4833,24.65,50.72,66,2,3.56
281,Alexandria,EG,2022-09-20 21:33:40,31.2156,29.9553,76.91,69,0,8.39
282,Bradford,GB,2022-09-20 21:34:12,53.7939,-1.7521,58.24,90,0,4.61
283,Sale,MA,2022-09-20 21:34:12,34.0389,-6.8166,74.08,88,40,0.0
284,Kavaratti,IN,2022-09-20 21:34:12,10.5669,72.642,80.49,79,100,13.02
285,Mount Isa,AU,2022-09-20 21:31:01,-20.7333,139.5,69.57,100,40,4.61
286,Kargasok,RU,2022-09-20 21:34:13,59.0556,80.8572,47.8,82,100,8.52
287,Nantucket,US,2022-09-20 21:31:09,41.2835,-70.0995,66.34,66,100,13.8
288,Ahipara,NZ,2022-09-20 21:34:14,-35.1667,173.1667,61.3,80,6,5.35
289,Kibakwe,TZ,2022-09-20 21:34:14,-6.7167,36.3667,62.33,87,27,5.37
290,Yumen,CN,2022-09-20 21:34:15,40.2833,97.2,62.82,29,1,13.47
291,Ngunguru,NZ,2022-09-20 21:34:15,-35.6167,174.5,61.92,76,69,10.92
